id	codigo	descricao	data_publicacao_fake	data_publicacao
	3301850	Guapimirim	1012009	01-01-2009
	3301876	Iguaba Grande	1012009	01-01-2009
	3301900	Itaboraí	1012009	01-01-2009
	3302007	Itaguaí	1012009	01-01-2009
	3302056	Italva	1012009	01-01-2009
	3302106	Itaocara	1012009	01-01-2009
	3302205	Itaperuna	1012009	01-01-2009
	3302254	Itatiaia	1012009	01-01-2009
	3302270	Japeri	1012009	01-01-2009
	3302304	Laje do Muriaé	1012009	01-01-2009
	3302403	Macaé	1012009	01-01-2009
	3302452	Macuco	1012009	01-01-2009
	3302502	Magé	1012009	01-01-2009
	3302601	Mangaratiba	1012009	01-01-2009
	3302700	Maricá	1012009	01-01-2009
	3302809	Mendes	1012009	01-01-2009
	3302858	Mesquita	1012009	01-01-2009
	3302908	Miguel Pereira	1012009	01-01-2009
	3303005	Miracema	1012009	01-01-2009
	3303104	Natividade	1012009	01-01-2009
	3303203	Nilópolis	1012009	01-01-2009
	3303302	Niterói	1012009	01-01-2009
	3303401	Nova Friburgo	1012009	01-01-2009
	3303500	Nova Iguaçu	1012009	01-01-2009
	3303609	Paracambi	1012009	01-01-2009
	3303708	Paraíba do Sul	1012009	01-01-2009
	3303807	Parati	1012009	01-01-2009
	3303856	Paty do Alferes	1012009	01-01-2009
	3303906	Petrópolis	1012009	01-01-2009
	3303955	Pinheiral	1012009	01-01-2009
	3304003	Piraí	1012009	01-01-2009
	3304102	Porciúncula	1012009	01-01-2009
	3304110	Porto Real	1012009	01-01-2009
	3304128	Quatis	1012009	01-01-2009
	3304144	Queimados	1012009	01-01-2009
	3304151	Quissamã	1012009	01-01-2009
	3304201	Resende	1012009	01-01-2009
	3304300	Rio Bonito	1012009	01-01-2009
	3304409	Rio Claro	1012009	01-01-2009
	3304508	Rio das Flores	1012009	01-01-2009
	3304524	Rio das Ostras	1012009	01-01-2009
	3304557	Rio de Janeiro	1012009	01-01-2009
	3304607	Santa Maria Madalena	1012009	01-01-2009
	3304706	Santo Antônio de Pádua	1012009	01-01-2009
	3304805	São Fidélis	1012009	01-01-2009
	3304755	São Francisco de Itabapoana	1012009	01-01-2009
	3304904	São Gonçalo	1012009	01-01-2009
	3305000	São João da Barra	1012009	01-01-2009
	3305109	São João de Meriti	1012009	01-01-2009
	3305133	São José de Ubá	1012009	01-01-2009
	3305158	São José do Vale do Rio Preto	1012009	01-01-2009
	3305208	São Pedro da Aldeia	1012009	01-01-2009
	3305307	São Sebastião do Alto	1012009	01-01-2009
	3305406	Sapucaia	1012009	01-01-2009
	3305505	Saquarema	1012009	01-01-2009
	3305554	Seropédica	1012009	01-01-2009
	3305604	Silva Jardim	1012009	01-01-2009
	3305703	Sumidouro	1012009	01-01-2009
	3305752	Tanguá	1012009	01-01-2009
	3305802	Teresópolis	1012009	01-01-2009
	3305901	Trajano de Morais	1012009	01-01-2009
	3306008	Três Rios	1012009	01-01-2009
	3306107	Valença	1012009	01-01-2009
	3306156	Varre-Sai	1012009	01-01-2009
	3306206	Vassouras	1012009	01-01-2009
	3306305	Volta Redonda	1012009	01-01-2009
	2700102	Água Branca	1012009	01-01-2009
	2700201	Anadia	1012009	01-01-2009
	2700300	Arapiraca	1012009	01-01-2009
	2700409	Atalaia	1012009	01-01-2009
	2700508	Barra de Santo Antônio	1012009	01-01-2009
	2700607	Barra de São Miguel	1012009	01-01-2009
	2700706	Batalha	1012009	01-01-2009
	2700805	Belém	1012009	01-01-2009
	2700904	Belo Monte	1012009	01-01-2009
	2701001	Boca da Mata	1012009	01-01-2009
	2701100	Branquinha	1012009	01-01-2009
	2701209	Cacimbinhas	1012009	01-01-2009
	2701308	Cajueiro	1012009	01-01-2009
	2701357	Campestre	1012009	01-01-2009
	2701407	Campo Alegre	1012009	01-01-2009
	2701506	Campo Grande	1012009	01-01-2009
	2701605	Canapi	1012009	01-01-2009
	2701704	Capela	1012009	01-01-2009
	2701803	Carneiros	1012009	01-01-2009
	2701902	Chã Preta	1012009	01-01-2009
	2702009	Coité do Nóia	1012009	01-01-2009
	2702108	Colônia Leopoldina	1012009	01-01-2009
	2702207	Coqueiro Seco	1012009	01-01-2009
	2702306	Coruripe	1012009	01-01-2009
	2702355	Craíbas	1012009	01-01-2009
	2702405	Delmiro Gouveia	1012009	01-01-2009
	2702504	Dois Riachos	1012009	01-01-2009
	2702553	Estrela de Alagoas	1012009	01-01-2009
	2702603	Feira Grande	1012009	01-01-2009
	2702702	Feliz Deserto	1012009	01-01-2009
	2702801	Flexeiras	1012009	01-01-2009
	2702900	Girau do Ponciano	1012009	01-01-2009
	2703007	Ibateguara	1012009	01-01-2009
	2703106	Igaci	1012009	01-01-2009
	2703205	Igreja Nova	1012009	01-01-2009
	2703304	Inhapi	1012009	01-01-2009
	2703403	Jacaré dos Homens	1012009	01-01-2009
