codigo,unidade,data_publicacao,descricao_unidade,id
55132900,KG,2016-01-01,Quilograma,
55133100,KG,2016-01-01,Quilograma,
55133911,KG,2016-01-01,Quilograma,
55133919,KG,2016-01-01,Quilograma,
55133990,KG,2016-01-01,Quilograma,
55134100,KG,2016-01-01,Quilograma,
55134911,KG,2016-01-01,Quilograma,
55134919,KG,2016-01-01,Quilograma,
55134990,KG,2016-01-01,Quilograma,
55141100,KG,2016-01-01,Quilograma,
55141200,KG,2016-01-01,Quilograma,
55141910,KG,2016-01-01,Quilograma,
55141990,KG,2016-01-01,Quilograma,
55142100,KG,2016-01-01,Quilograma,
55142200,KG,2016-01-01,Quilograma,
55142300,KG,2016-01-01,Quilograma,
55142900,KG,2016-01-01,Quilograma,
55143011,KG,2016-01-01,Quilograma,
55143012,KG,2016-01-01,Quilograma,
55143019,KG,2016-01-01,Quilograma,
55143090,KG,2016-01-01,Quilograma,
55144100,KG,2016-01-01,Quilograma,
55144200,KG,2016-01-01,Quilograma,
55144300,KG,2016-01-01,Quilograma,
55144900,KG,2016-01-01,Quilograma,
55151100,KG,2016-01-01,Quilograma,
55151200,KG,2016-01-01,Quilograma,
55151300,KG,2016-01-01,Quilograma,
55151900,KG,2016-01-01,Quilograma,
55152100,KG,2016-01-01,Quilograma,
55152200,KG,2016-01-01,Quilograma,
55152900,KG,2016-01-01,Quilograma,
55159100,KG,2016-01-01,Quilograma,
55159910,KG,2016-01-01,Quilograma,
55159990,KG,2016-01-01,Quilograma,
55161100,KG,2016-01-01,Quilograma,
55161200,KG,2016-01-01,Quilograma,
55161300,KG,2016-01-01,Quilograma,
55161400,KG,2016-01-01,Quilograma,
55162100,KG,2016-01-01,Quilograma,
55162200,KG,2016-01-01,Quilograma,
55162300,KG,2016-01-01,Quilograma,
55162400,KG,2016-01-01,Quilograma,
55163100,KG,2016-01-01,Quilograma,
55163200,KG,2016-01-01,Quilograma,
55163300,KG,2016-01-01,Quilograma,
55163400,KG,2016-01-01,Quilograma,
55164100,KG,2016-01-01,Quilograma,
55164200,KG,2016-01-01,Quilograma,
55164300,KG,2016-01-01,Quilograma,
55164400,KG,2016-01-01,Quilograma,
55169100,KG,2016-01-01,Quilograma,
55169200,KG,2016-01-01,Quilograma,
55169300,KG,2016-01-01,Quilograma,
55169400,KG,2016-01-01,Quilograma,
56012110,KG,2016-01-01,Quilograma,
56012190,KG,2016-01-01,Quilograma,
56012211,KG,2016-01-01,Quilograma,
56012219,KG,2016-01-01,Quilograma,
56012291,KG,2016-01-01,Quilograma,
56012299,KG,2016-01-01,Quilograma,
56012900,KG,2016-01-01,Quilograma,
56013010,KG,2016-01-01,Quilograma,
56013090,KG,2016-01-01,Quilograma,
56021000,KG,2016-01-01,Quilograma,
56022100,KG,2016-01-01,Quilograma,
56022900,KG,2016-01-01,Quilograma,
56029000,KG,2016-01-01,Quilograma,
56031110,KG,2016-01-01,Quilograma,
56031120,KG,2016-01-01,Quilograma,
56031130,KG,2016-01-01,Quilograma,
56031140,KG,2016-01-01,Quilograma,
56031190,KG,2016-01-01,Quilograma,
56031210,KG,2016-01-01,Quilograma,
56031220,KG,2016-01-01,Quilograma,
56031230,KG,2016-01-01,Quilograma,
56031240,KG,2016-01-01,Quilograma,
56031250,KG,2016-01-01,Quilograma,
56031290,KG,2016-01-01,Quilograma,
56031310,KG,2016-01-01,Quilograma,
56031320,KG,2016-01-01,Quilograma,
56031330,KG,2016-01-01,Quilograma,
56031340,KG,2016-01-01,Quilograma,
56031350,KG,2016-01-01,Quilograma,
56031390,KG,2016-01-01,Quilograma,
56031410,KG,2016-01-01,Quilograma,
56031420,KG,2016-01-01,Quilograma,
56031430,KG,2016-01-01,Quilograma,
56031440,KG,2016-01-01,Quilograma,
56031490,KG,2016-01-01,Quilograma,
56039110,KG,2016-01-01,Quilograma,
56039120,KG,2016-01-01,Quilograma,
56039130,KG,2016-01-01,Quilograma,
56039190,KG,2016-01-01,Quilograma,
56039210,KG,2016-01-01,Quilograma,
56039220,KG,2016-01-01,Quilograma,
56039230,KG,2016-01-01,Quilograma,
56039240,KG,2016-01-01,Quilograma,
56039290,KG,2016-01-01,Quilograma,
56039310,KG,2016-01-01,Quilograma,
56039320,KG,2016-01-01,Quilograma,
56039330,KG,2016-01-01,Quilograma,
56039340,KG,2016-01-01,Quilograma,
56039390,KG,2016-01-01,Quilograma,
56039410,KG,2016-01-01,Quilograma,
56039420,KG,2016-01-01,Quilograma,
56039430,KG,2016-01-01,Quilograma,
56039490,KG,2016-01-01,Quilograma,
56041000,KG,2016-01-01,Quilograma,
56049010,KG,2016-01-01,Quilograma,
56049021,KG,2016-01-01,Quilograma,
56049022,KG,2016-01-01,Quilograma,
56049090,KG,2016-01-01,Quilograma,
56050010,KG,2016-01-01,Quilograma,
56050020,KG,2016-01-01,Quilograma,
56050090,KG,2016-01-01,Quilograma,
56060000,KG,2016-01-01,Quilograma,
56072100,KG,2016-01-01,Quilograma,
56072900,KG,2016-01-01,Quilograma,
56074100,KG,2016-01-01,Quilograma,
56074900,KG,2016-01-01,Quilograma,
56075011,KG,2016-01-01,Quilograma,
56075019,KG,2016-01-01,Quilograma,
56075090,KG,2016-01-01,Quilograma,
56079010,KG,2016-01-01,Quilograma,
56079020,KG,2016-01-01,Quilograma,
56079090,KG,2016-01-01,Quilograma,
56081100,KG,2016-01-01,Quilograma,
56081900,KG,2016-01-01,Quilograma,
56089000,KG,2016-01-01,Quilograma,
56090010,KG,2016-01-01,Quilograma,
56090090,KG,2016-01-01,Quilograma,
57011011,M2,2016-01-01,Metro Quadrado,
57011012,M2,2016-01-01,Metro Quadrado,
57011020,M2,2016-01-01,Metro Quadrado,
57019000,M2,2016-01-01,Metro Quadrado,
57021000,M2,2016-01-01,Metro Quadrado,
57022000,M2,2016-01-01,Metro Quadrado,
57023100,M2,2016-01-01,Metro Quadrado,
57023200,M2,2016-01-01,Metro Quadrado,
57023900,M2,2016-01-01,Metro Quadrado,
57024100,M2,2016-01-01,Metro Quadrado,
57024200,M2,2016-01-01,Metro Quadrado,
57024900,M2,2016-01-01,Metro Quadrado,
57025010,M2,2016-01-01,Metro Quadrado,
57025020,M2,2016-01-01,Metro Quadrado,
57025090,M2,2016-01-01,Metro Quadrado,
57029100,M2,2016-01-01,Metro Quadrado,
57029200,M2,2016-01-01,Metro Quadrado,
57029900,M2,2016-01-01,Metro Quadrado,
57031000,M2,2016-01-01,Metro Quadrado,
57032000,M2,2016-01-01,Metro Quadrado,
57033000,M2,2016-01-01,Metro Quadrado,
57039000,M2,2016-01-01,Metro Quadrado,
57041000,M2,2016-01-01,Metro Quadrado,
57042000,M2,01-01-2017,Metro Quadrado,
57049000,M2,2016-01-01,Metro Quadrado,
57050000,M2,2016-01-01,Metro Quadrado,
58011000,KG,2016-01-01,Quilograma,
58012100,KG,2016-01-01,Quilograma,
58012200,KG,2016-01-01,Quilograma,
58012300,KG,2016-01-01,Quilograma,
58012600,KG,2016-01-01,Quilograma,
58012700,KG,2016-01-01,Quilograma,
58013100,KG,2016-01-01,Quilograma,
58013200,KG,2016-01-01,Quilograma,
58013300,KG,2016-01-01,Quilograma,
58013600,KG,2016-01-01,Quilograma,
58013700,KG,2016-01-01,Quilograma,
58019000,KG,2016-01-01,Quilograma,
58021100,KG,2016-01-01,Quilograma,
58021900,KG,2016-01-01,Quilograma,
58022000,KG,2016-01-01,Quilograma,
58023000,KG,2016-01-01,Quilograma,
58030010,KG,2016-01-01,Quilograma,
58030090,KG,2016-01-01,Quilograma,
58041010,KG,2016-01-01,Quilograma,
58041090,KG,2016-01-01,Quilograma,
58042100,KG,2016-01-01,Quilograma,
58042910,KG,2016-01-01,Quilograma,
58042990,KG,2016-01-01,Quilograma,
58043010,KG,2016-01-01,Quilograma,
58043090,KG,2016-01-01,Quilograma,
58050010,KG,2016-01-01,Quilograma,
58050020,KG,2016-01-01,Quilograma,
58050090,KG,2016-01-01,Quilograma,
58061000,KG,2016-01-01,Quilograma,
58062000,KG,2016-01-01,Quilograma,
58063100,KG,2016-01-01,Quilograma,
58063200,KG,2016-01-01,Quilograma,
58063900,KG,2016-01-01,Quilograma,
58064000,KG,2016-01-01,Quilograma,
58071000,KG,2016-01-01,Quilograma,
58079000,KG,2016-01-01,Quilograma,
58081000,KG,2016-01-01,Quilograma,
58089000,KG,2016-01-01,Quilograma,
58090000,KG,2016-01-01,Quilograma,
58101000,KG,2016-01-01,Quilograma,
58109100,KG,2016-01-01,Quilograma,
58109200,KG,2016-01-01,Quilograma,
58109900,KG,2016-01-01,Quilograma,
58110000,KG,2016-01-01,Quilograma,
59011000,KG,2016-01-01,Quilograma,
59019000,KG,2016-01-01,Quilograma,
59021010,KG,2016-01-01,Quilograma,
59021090,KG,2016-01-01,Quilograma,
59022000,KG,2016-01-01,Quilograma,
59029000,KG,2016-01-01,Quilograma,
59031000,KG,2016-01-01,Quilograma,
59032000,KG,2016-01-01,Quilograma,
59039000,KG,2016-01-01,Quilograma,
59041000,M2,2016-01-01,Metro Quadrado,
59049000,M2,2016-01-01,Metro Quadrado,
59050000,M2,2016-01-01,Metro Quadrado,
59061000,KG,2016-01-01,Quilograma,
59069100,KG,2016-01-01,Quilograma,
59069900,KG,2016-01-01,Quilograma,
59070000,KG,2016-01-01,Quilograma,
59080000,KG,2016-01-01,Quilograma,
59090000,KG,2016-01-01,Quilograma,
59100000,KG,2016-01-01,Quilograma,
59111000,KG,2016-01-01,Quilograma,
59112010,KG,2016-01-01,Quilograma,
59112090,KG,2016-01-01,Quilograma,
59113100,KG,2016-01-01,Quilograma,
59113200,KG,2016-01-01,Quilograma,
59114000,KG,2016-01-01,Quilograma,
59119000,KG,2016-01-01,Quilograma,
60011010,KG,2016-01-01,Quilograma,
60011020,KG,2016-01-01,Quilograma,
60011090,KG,2016-01-01,Quilograma,
60012100,KG,2016-01-01,Quilograma,
60012200,KG,2016-01-01,Quilograma,
60012900,KG,2016-01-01,Quilograma,
60019100,KG,2016-01-01,Quilograma,
60019200,KG,2016-01-01,Quilograma,
60019900,KG,2016-01-01,Quilograma,
60024010,KG,2016-01-01,Quilograma,
60024020,KG,2016-01-01,Quilograma,
60024090,KG,2016-01-01,Quilograma,
60029010,KG,2016-01-01,Quilograma,
60029020,KG,2016-01-01,Quilograma,
60029090,KG,2016-01-01,Quilograma,
60031000,KG,2016-01-01,Quilograma,
60032000,KG,2016-01-01,Quilograma,
60033000,KG,2016-01-01,Quilograma,
60034000,KG,2016-01-01,Quilograma,
60039000,KG,2016-01-01,Quilograma,
60041011,KG,2016-01-01,Quilograma,
60041012,KG,2016-01-01,Quilograma,
60041013,KG,2016-01-01,Quilograma,
60041014,KG,2016-01-01,Quilograma,
60041031,KG,2016-01-01,Quilograma,
60041032,KG,2016-01-01,Quilograma,
60041033,KG,2016-01-01,Quilograma,
60041034,KG,2016-01-01,Quilograma,
60041041,KG,2016-01-01,Quilograma,
60041042,KG,2016-01-01,Quilograma,
60041043,KG,2016-01-01,Quilograma,
