codigo	unidade	data_publicacao	data_validade	descricao_unidade	
5059000	KG	01/01/2016		Quilograma	
5061000	KG	01/01/2016		Quilograma	
5069000	KG	01/01/2016		Quilograma	
5071000	KG	01/01/2016		Quilograma	
5079000	KG	01/01/2016		Quilograma	
5080000	KG	01/01/2016		Quilograma	
5100010	KG	01/01/2016		Quilograma	
5100090	KG	01/01/2016		Quilograma	
5111000	G	01/01/2016		Grama	
5119110	KG	01/01/2016		Quilograma	
5119190	KG	01/01/2016		Quilograma	
5119910	KG	01/01/2016		Quilograma	
5119920	KG	01/01/2016		Quilograma	
5119930	KG	01/01/2016		Quilograma	
5119991	KG	01/01/2016		Quilograma	
5119999	KG	01/01/2016		Quilograma	
6011000	UN	01/01/2016		Unidade	
6012000	UN	01/01/2016		Unidade	
6021000	UN	01/01/2016		Unidade	
6022000	UN	01/01/2016		Unidade	
6023000	UN	01/01/2016		Unidade	
6024000	UN	01/01/2016		Unidade	
6029010	KG	01/01/2016		Quilograma	
6029021	UN	01/01/2016		Unidade	
6029029	UN	01/01/2016		Unidade	
6029081	UN	01/01/2016		Unidade	
6029082	UN	01/01/2016		Unidade	
6029083	UN	01/01/2016		Unidade	
6029089	UN	01/01/2016		Unidade	
6029090	UN	01/01/2016		Unidade	
6031100	DUZIA	01/01/2016		Duzia	
6031200	DUZIA	01/01/2016		Duzia	
6031300	DUZIA	01/01/2016		Duzia	
6031400	DUZIA	01/01/2016		Duzia	
6031500	DUZIA	01/01/2016		Duzia	
6031900	DUZIA	01/01/2016		Duzia	
6039000	KG	01/01/2016		Quilograma	
6042000	KG	01/01/2016		Quilograma	
6049000	KG	01/01/2016		Quilograma	
7011000	KG	01/01/2016		Quilograma	
7019000	KG	01/01/2016		Quilograma	
7020000	KG	01/01/2016		Quilograma	
7031011	KG	01/01/2016		Quilograma	
7031019	KG	01/01/2016		Quilograma	
7031021	KG	01/01/2016		Quilograma	
7031029	KG	01/01/2016		Quilograma	
7032010	KG	01/01/2016		Quilograma	
7032090	KG	01/01/2016		Quilograma	
7039010	KG	01/01/2016		Quilograma	
7039090	KG	01/01/2016		Quilograma	
7041000	KG	01/01/2016		Quilograma	
7042000	KG	01/01/2016		Quilograma	
7049000	KG	01/01/2016		Quilograma	
7051100	KG	01/01/2016		Quilograma	
7051900	KG	01/01/2016		Quilograma	
